@relation plural
@attribute frequency NUMERIC
@attribute p1 {+, +l, +r, -, =, =l, =v, J, N, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, b, bl, br, d, dl, dm, dn, dr, f, fl, fr, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, n, p, pj, pl, pn, pr, ps, pt, r, s, s=, sf, sk, skl, skr, sl, sm, sp, st, stj, str, sv, t, tl, tn, tr, v, vj, x, z}
@attribute p2 {#, &, ), -, /, 0, 1, 2, 6, @, B, E, I, O, U, W, X, Y, a, e, i, o, q, u, y, |, ~}
@attribute p3 {+, -, =, =t, J, N, Nk, Nkt, Ns, Nst, Nt, S, d, f, f=, fs, ft, k, ks, kst, kt, l, l=, lS, lf, lfs, lk, lks, lm, lp, lps, lpst, ls, lst, lt, lx, m, m+, m=, mf, mp, ms, mt, n, n=, nJ, nS, nd, nf, nf=, nft, ns, nst, nt, ntl, nx, p, ps, pst, pt, r, r=, rS, rf, rk, rkt, rl, rm, rn, rnst, rp, rpst, rs, rst, rt, rx, s, sp, st, t, x, x=, xs, xst, xt}
@attribute p4 {+, +l, +r, -, =, =l, =v, J, N, Nl, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, _m, b, bl, br, d, dl, dn, dr, f, fj, fl, fr, ft, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, ml, n, p, pl, pn, pr, ps, r, s, s=, sf, sk, skr, skv, sl, sn, sp, sr, st, str, sv, t, tl, tn, tr, tv, v, vj, vr, x, xl, z, zn} 
@attribute p5 {#, $, &, ), /, 0, 4, @, B, E, I, O, U, W, X, Y, ^, a, e, i, o, q, u, y, (, |, ~}
@attribute p6 {+, -, =, J, N, Nk, Nks, Nkt, Nst, S, Z, _, b, f, ft, k, ks, kst, kt, l, l=, lf, lk, lm, lp, lps, ls, lst, lt, lx, m, m+, mS, mf, mp, mps, ms, mt, n, n=, nJ, nS, nd, nf, nft, ns, nst, nt, nx, p, ps, pst, pt, r, r=, r=t, rS, rf, rft, rk, rkt, rl, rm, rn, rp, rpst, rpt, rs, rst, rt, rx, s, sk, st, t, v, x, x=, xt}
@attribute gender {-, F, FM, FN, M, MF, MN, N, NF, NM}
@attribute class {-, U, Ue, Uer, e, en, er, s}

@data
4,b,i,-,g,@,-,F,en
101,g,E,n,t,u,r,F,en
3,=,&,Nk,z,U,xt,F,Ue
3,t,W,-,l,U,N,F,en
1,t,@,n,b,&,Nk,F,en
2,m,a,n,h,E,lt,M,en
0,b,@,-,f,U,nt,M,e
0,fl,O,-,k,@,-,F,en
280,g,e,-,b,U,N,F,en
14,p,O,-,n,i,-,N,s
10,m,e,-,tr,o,-,F,s
0,z,U,-,p,@,-,F,en
1,l,E,r,g,i,-,F,en
0,g,e,-,n,i,-,F,en
0,St,e,-,-,@,r,M,-
2,-,E,-,t,@,-,F,en
7,h,B,-,f,@,n,M,-
6,k,&,-,f,e,-,M,s
7,h,y,-,t,@,r,M,-
1,m,a,n,br,i,f,M,e
0,r,@,-,r,I,n,F,en
51,f,E,r,t,@,-,F,en
0,r,a,-,l,@,-,N,s
31,h,y,-,t,@,r,M,-
9,-,&,p,r,u,f,M,e
7,t,E,r,n,@,-,F,en
8,v,E,r,b,U,N,F,en
0,v,&,-,x,@,-,F,en
10,z,&,=,d,i,nst,M,e
1377,-,-,-,k,O,+,M,Ue
0,tr,O,-,t,@,-,F,en
0,m,&,N,g,o,-,F,en
0,f,@,-,l,U,N,F,en
0,r,e,-,=,E,s,M,e
0,d,I,x,t,@,r,M,-
14,m,I,-,s,@,-,F,en
2,f,o,-,t,o,n,N,en
18,-,&,n,St,&,lt,F,en
4,t,e,-,n,i,-,F,en
115,g,I,s,tr,a,t,M,e
1,=,),-,l,@,r,M,-
0,h,&,nt,l,U,N,F,en
32,p,@,n,h,B,s,N,Uer
3,Str,a,-,s,@,-,F,en
0,p,&,-,r,a,t,M,e
0,f,a,-,d,@,n,M,U
31,z,@,-,r,I,n,F,en
3,-,&,-,S,@,r,M,-
0,h,o,-,d,@,-,MF,en
130,=,i,-,-,o,n,F,en
44,Sp,i,-,-,o,n,M,e
1,-,-,-,S,U,r=,M,e
0,t,&,-,n,i,-,F,en
0,br,u,-,d,@,r,M,U
0,-,&,p,dr,U,k,M,e
0,x,@,r,h,E,lm,M,e
9,z,i,-,-,O,n,N,en
1,l,W,-,t,@,r,M,-
0,v,W,-,-,U,N,F,en
0,k,@,-,r,W,-,F,en
6,t,@,-,r,U,N,F,en
4,St,E,r,k,@,-,F,en
0,g,e,-,r,@,-,F,en
63,g,@,-,r,U,N,F,en
3,-,-,-,p,o,-,F,s
9,v,U,n,d,@,r,N,-
0,p,@,r,m,B,l,N,Uer
0,s,@,-,r,@,r,M,-
0,r,u,-,d,@,rn,N,-
1,z,U,-,m,@,-,F,en
0,tr,E,N,k,U,N,F,en
3,St,W,-,g,U,N,F,en
4,m,W,s,t,@,r,M,-
14,S,i,-,s,U,N,F,en
26,f,y,-,r,@,r,M,-
0,t,E,-,s,@,-,F,en
259,m,U,-,t,@,r,F,U
21,d,i,-,-,o,t,M,en
1,+l,&,s,t,@,r,M,-
3,d,i,-,b,),r,M,en
0,m,&,n,t,@,l,M,U
1,n,@,n,d,i,nst,M,e
58,-,-,-,-,i,-,N,-
13,n,a,-,m,@,-,F,en
307,b,B,-,-,@,r,M,-
0,Sr,W,-,b,@,n,N,-
0,g,@,-,St,W,n,N,e
8,Sl,Y,-,s,@,l,M,-
6,g,@,n,h,W,t,F,en
19,tr,B,-,b,@,-,F,en
1,Spr,a,-,x,@,-,F,en
6,kr,i,-,z,@,-,F,en
599,m,U,-,t,@,r,F,U
9,f,y,-,r,@,-,F,en
5,St,u,l,b,W,n,N,e
11,tr,I,Nk,Spr,U,x,M,Ue
62,-,o,-,f,@,n,M,U
0,k,&,-,n,I,st,M,en
0,r,&,-,pl,y,-,M,s
10,k,O,r,d,a,t,N,e
0,f,I,s,m,U,s,M,en
6,+,&,r,h,B,s,N,Uer
19,r,W,-,z,@,-,F,en
0,-,/,f,n,@,r,M,-
3,-,o,-,z,@,-,F,en
4,=,@,n,f,E,lt,N,er
38,-,&,n,gr,I,f,M,e
0,l,i,-,-,@,r,M,-
26,g,@,-,r,U,N,F,en
13,r,W,-,z,@,-,F,en
7,g,@,-,bl,&,t,N,Uer
94,g,i,-,-,o,n,F,en
38,d,I,-,g,U,N,F,en
0,d,&,-,x,U,N,F,en
2,b,i,-,z,O,n,M,s
1,h,a,-,k,@,n,M,-
374,=,i,-,-,E,nt,M,en
2,kl,W,n,t,i,r,N,e
0,d,i,-,d,a,t,M,en
14,l,E,-,t,@,r,F,en
26,r,I,-,p,@,-,F,en
38,z,i,-,-,o,n,F,en
0,k,U,m,p,a,n,M,e
42,=,i,-,-,o,n,F,en
100,v,I,s,h,W,t,F,en
261,-,E,m,+,&,N,M,Ue
0,fr,E,-,s,@,r,M,-
0,St,&,l,t,U,N,F,en
0,h,B,t,-,a,r=t,M,Ue
1,n,@,n,-,u,r,F,en
0,l,B,-,z,U,N,F,en
1165,p,O,n,d,E,nt,M,en
0,v,E,n,x,@,n,N,-
11,tr,a,-,g,U,N,F,en
0,br,I,-,N,@,r,M,-
18,-,B,f,Sr,W,-,M,e
6,z,i,-,n,o,-,N,s
98,-,-,-,t,I,p,M,s
8,v,W,-,z,U,N,F,en
1,z,a,-,n,@,-,F,en
9,f,E,r,v,W,s,M,e
328,b,a,-,z,I,s,F,en
0,k,E,lp,l,W,n,N,-
23,t,X,-,S,U,N,F,en
37,z,X,k,l,I,N,M,e
27,h,o,x,Spr,U,N,M,Ue
0,d,i,-,-,O,n,N,s
0,-,B,s,br,U,x,M,Ue
0,m,),t,x,@,n,N,-
7,b,B,-,St,i,l,M,e
0,pl,a,-,g,@,-,F,en
2,z,E,r,v,&,n=,F,en
0,r,&,m,kl,O,=,M,Ue
223,-,-,-,kn,i,-,N,-
0,g,I,s,m,U,s,M,en
5,f,i,-,g,u,r,F,en
1,r,O,n,d,@,-,F,en
5,k,O,s,f,E,t,N,e
0,t,o,-,m,a,t,M,en
0,k,I,-,s,@,n,N,-
0,-,W,n,bl,&,t,N,Uer
2,S,E,r=,v,O,rt,N,e
207,r,e,-,g,U,N,F,en
2,g,@,-,r,@,r,M,-
3,-,-,-,+l,O,k,M,Ue
37,k,a,-,l,i,-,N,s
7,n,i,-,r,U,N,F,en
4,z,Y,s,t,e,m,N,e
2,=,@,-,r,I,n,F,en
0,r,O,-,k,@,n,M,-
9,-,&,n,St,i,k,M,e
0,r,e,-,d,@,-,F,en
159,=,i,-,-,o,n,F,en
106,k,E,m,+,@,r,M,-
1,-,-,-,tr,&,p,M,e
0,=,i,-,-,E,nt,M,en
1,x,@,r,h,W,t,F,en
3,z,E,-,l,@,-,M,en
4,S,a,f,f,E,l,N,e
0,t,U,s,j,a,kt,F,en
1,l,W,s,t,U,N,F,en
3,z,E,l,S,&,ft,F,en
0,pl,&,-,t,@,-,F,en
0,m,I,-,t,@,l,N,-
1,l,@,-,r,W,-,F,en
1,pr,i,s,x,@,n,N,-
14,v,E,k,s,@,l,M,-
4,z,I,-,n,@,n,N,-
0,t,),=,k,o,r,N,-
26,b,U,-,l,@,-,F,en
13,+,Y,-,=,@,-,F,en
0,S,i,-,n,@,-,F,en
0,kr,a,-,g,U,N,F,en
0,h,&,s,p,@,n,M,-
0,k,&,s,t,@,n,M,U
11,-,I,r,l,I,xt,N,er
2,N,@,s,l,U,st,F,Ue
1,h,E,n,dl,@,r,M,-
7,l,@,-,r,W,-,F,en
3,r,&,-,n,U,s,F,Ue
2,t,u,r,k,I,nt,N,er
28,gl,Y,ks,f,&,l,M,Ue
3,-,&,r,b,W,t,F,en
5,n,U,s,b,E,rk,M,e
0,r,|,t,l,I,N,M,e
8,r,I,s,m,U,s,M,en
0,S,a,-,d,@,n,M,U
0,v,Y,rm,x,@,n,N,-
1,k,@,-,l,W,-,F,en
15,v,&,l,t,U,N,F,en
0,r,e,-,d,U,N,F,en
14,d,I,p,l,o,m,N,e
0,d,I,N,l,W,n,N,-
0,k,@,n,Sm,E,r=,M,en
2,l,&,-,ks,@,-,F,en
0,tr,E,N,k,U,N,F,en
8,z,&,nt,St,W,n,M,e
19,St,&,l,t,U,N,F,en
24,gr,a,-,f,i,-,F,en
4,f,o,-,g,@,l,M,U
342,Str,E,-,N,U,N,F,en
0,br,&,-,s,@,-,F,en
0,t,a,r,r,E,xt,N,e
4,h,I,n,f,a,rt,F,en
12,t,),-,n,@,-,F,en
6,d,@,-,r,W,-,F,en
1,m,e,r,g,O,t,M,Uer
0,k,e,-,l,U,N,F,en
15,bl,W,-,x,@,-,F,en
11,t,i,-,k,@,r,M,-
1,-,e,-,l,E,n,N,-
22,k,i,-,-,o,sk,M,e
518,m,e,r,h,W,t,F,en
0,f,@,r,Sl,W,m,M,e
0,v,i,-,t,),t,F,en
8,h,a,-,r,E,m,M,s
265,b,y,-,r,o,-,N,s
3,b,W,-,Sl,a,k,M,Ue
401,-,I,n,h,&,lt,M,e
8,-,&,n,t,W,l,M,e
2,kl,&,J,v,W,p,N,er
0,f,a,r=,v,e,k,M,e
1,-,/,f,n,@,r,M,-
0,=,i,-,-,o,n,F,en
0,-,a,-,t,@,r,N,-
0,d,o,-,m,i,t,M,en
7,v,&,-,x,@,-,F,en
7,z,&,-,x,@,-,F,en
0,=,i,-,-,o,n,F,en
5,r,Y,k,m,&,rS,M,Ue
11,z,Y,s,t,e,m,N,e
0,S,Y,-,t,U,N,F,en
0,-,E,r,b,@,-,M,en
0,=,W,-,g,U,N,F,en
0,r,a,-,t,O,r,M,en
0,p,&,-,r,a,t,N,e
0,tr,O,-,l,@,-,F,en
5,h,&,lf,t,@,r,M,-
54,sf,),-,r,@,-,F,en
57,g,@,-,S,/,+,N,e
74,-,&,-,+,@,l,M,U
0,k,u,-,x,@,n,M,-
3,n,&,n,t,@,-,F,en
11,z,I,N,k,o,l,M,e
0,f,i,-,b,@,r,N,-
3,p,@,n,v,I,rt,M,e
0,Sp,U,nt,l,O,x,N,Uer
10,fr,a,-,g,@,-,F,en
10,f,y,-,r,@,r,M,-
1,n,a,-,d,@,l,F,en
13,l,o,-,p,@,-,F,en
0,n,o,-,gr,&,m,N,e
4,b,o,-,z,@,-,F,en
37,v,W,-,x,@,-,F,en
0,t,a,-,k,@,l,N,-
2,b,I,rn,b,B,m,M,Ue
0,=,E,n,z,U,s,M,-
765,z,Y,s,t,e,m,N,e
0,k,&,-,=,@,-,F,en
0,Sp,E,r,r,a,t,N,Uer
0,-,W,-,z,@,n,N,-
2,l,e,-,r,@,r,M,-
7,t,&,N,g,o,-,M,s
0,Sn,W,-,d,@,r,M,-
0,d,E,r,m,i,-,F,en
1,-,E,-,f,E,kt,M,e
0,l,&,-,p,@,n,M,-
2,f,E,n,st,@,r,N,-
0,Sr,W,-,b,@,n,N,-
9,=,i,-,-,o,n,F,en
0,t,&,n,d,U,m,N,en
2,f,o,-,r,I,nt,M,s
0,Sv,),n,x,@,n,N,-
296,-,-,-,b,U,nt,N,e
0,St,&,-,N,@,-,F,en
7,x,@,n,h,e,rt,M,e
7,fl,&,-,S,@,-,F,en
67,-,U,m,kr,W,s,M,e
0,j,U,-,N,@,-,M,en
7,z,I,=,Str,W,k,M,s
0,m,Y,-,=,@,-,F,en
0,p,@,n,S,I,lt,M,e
14,S,),t,l,I,N,M,e
11,=,i,-,-,o,n,F,en
2,m,a,-,t,O,r,M,en
0,t,i,r,h,W,m,N,e
10,-,o,-,n,&,n=,F,en
4,d,@,-,r,W,-,F,en
66,r,e,-,-,a,-,N,s
0,g,@,n,h,W,m,N,e
0,S,u,-,l,@,-,F,en
1,-,X,-,l,@,-,F,en
3,t,a,l,=,I,ns,M,en
6,-,-,-,dr,&,l,M,e
34,m,a,-,l,I,n,F,en
0,v,@,n,g,E,lt,N,er
1354,m,),t,x,@,n,N,-
1,v,I,k,s,@,-,F,en
0,s,@,l,br,E,t,N,er
12,b,@,-,r,U,N,F,en
0,t,o,-,d,@,-,F,en
1,m,e,-,d,u,r,F,en
1,l,o,-,-,@,-,F,en
0,b,@,-,l,W,-,F,en
10,r,i,-,-,U,m,N,en
4,r,O,l,f,E,lt,N,er
4,S,E,=,x,@,n,N,-
1,g,@,s,r,B,m,M,Ue
10,tn,@,-,r,W,-,F,en
4,z,|,n,l,W,n,N,-
6,l,i,-,t,i,k,F,en
2,f,),-,r,@,-,F,en
0,kl,W,s,t,@,r,M,-
10,v,W,-,z,@,-,F,en
0,=,i,-,-,o,n,F,en
0,d,@,-,r,W,-,F,en
24,b,O,l,v,E,rk,N,e
0,z,B,-,n,I,st,M,en
0,n,a,x,=,O,l,M,Ue
8,l,&,n=,kn,E,xt,M,e
12,k,I,-,p,@,r,M,-
0,r,o,-,m,a,n,M,e
211,=,i,-,-,o,n,F,en
14,m,W,-,l,@,r,M,-
4,n,i,-,t,),t,F,en
8,-,W,-,z,@,n,N,-
3,z,@,n,h,e,rt,M,e
55,+,&,nt,br,i,f,M,e
0,-,-,-,p,&,k,F,s
10,l,U,Ns,kr,&,ft,F,Ue
3,Sl,E,p,k,a,n,M,Ue
11,v,e,r,t,U,N,F,en
52,-,-,-,Sr,E,k,M,e
1,t,U,-,S,@,-,F,en
17,-,E,nt,h,&,lt,M,e
168,h,E,r,=,o,k,M,Ue
0,=,E,-,l,@,-,F,en
1,=,u,-,f,u,r,F,en
11,+l,e,-,g,@,r,M,-
0,t,I,x,k,W,t,F,en
5,k,O,-,m,@,n,N,-
0,k,E,-,t,U,N,F,en
6,n,@,r,S,&,ft,F,en
2,p,&,-,r,a,t,M,e
8,f,E,lt,v,e,k,M,e
166,l,e,-,n,U,N,F,en
1,p,U,-,d,I,N,M,s
0,h,E,-,k,@,-,F,en
1,k,&,r,t,@,-,F,en
16,-,o,pst,b,B,m,M,Ue
10,k,@,n,S,W,n,M,e
1,p,@,l,p,U,Nkt,M,e
17,S,&,ft,l,@,r,M,-
5,t,e,-,-,O,n,N,s
117,n,a,-,l,@,-,F,en
0,v,a,-,r,@,-,F,en
5,r,e,-,d,@,-,F,en
211,n,a,-,z,@,-,F,en
1,j,B,x,=,@,r,M,-
0,t,Y,rm,l,W,n,N,-
0,z,e,k,r,e,t,N,e
27,b,a,n,St,W,k,M,e
3,Sn,y,-,r,U,N,F,en
0,k,O,n,=,E,rt,N,e
19,d,I,-,g,@,r,M,-
6,f,E,st,Sr,I,ft,F,en
0,fl,u,-,x,@,r,M,-
19,t,a,-,Z,@,-,F,en
3,f,O,l,g,@,-,F,en
2,v,E,s,t,i,-,F,en
8,=,u,-,fl,U,s,M,Ue
1,kr,I,-,p,@,-,F,en
0,b,u,-,r,E,t,N,e
3,d,@,ns,=,W,t,F,en
0,z,@,-,f,O,rm,F,en
62,h,W,-,=,U,N,F,en
0,-,E,nt,r,W,m,M,e
4,d,&,-,x,U,N,F,en
3,St,W,-,g,@,r,M,-
0,d,U,rx,fl,u,k,M,Ue
112,k,O,n,=,E,pt,N,e
1,Sm,),-,Sr,I,ft,F,en
5,r,|,-,r,@,-,F,en
23,m,B,-,-,@,r,F,en
178,n,I,s,t,@,r,M,-
1,Spr,a,-,x,@,-,F,en
8,t,E,k,t,O,r,M,en
318,r,E,x,n,U,N,F,en
29,f,I,n,d,@,r,M,-
55,g,@,-,z,u,x,N,e
37,-,-,-,br,B,n,N,-
43,-,-,-,t,&,Nk,M,s
27,p,O,l,st,@,r,N,-
0,z,u,-,f,I,st,M,en
0,=,i,-,-,o,n,F,en
22,m,i,-,t,@,r,M,-
3,n,a,l,tr,&,xt,F,en
2,=,i,-,-,o,n,F,en
2,r,o,-,n,I,n,F,en
4,-,@,r,l,U,st,F,Ue
0,f,@,-,r,U,N,F,en
157,-,-,-,-,E,m,N,-
3,l,i,-,br,i,-,M,s
1,sv,e,-,t,@,r,M,-
15,h,|,xst,pr,W,s,M,e
0,t,O,r,S,I,f,N,e
2,t,@,r,t,o,n,M,Ue
0,b,),-,-,U,N,F,en
12,z,i,-,-,o,n,F,en
8,g,@,-,br,E,x,N,e
0,Sp,E,r,l,I,N,M,e
3,z,X,-,r,@,-,F,en
8,=,Y,nt,h,O,l=,N,Uer
4,j,&,-,l,I,st,M,en
41,pr,E,-,s,U,N,F,en
0,m,a,l,Str,o,m,M,Ue
6,f,o,r,tr,i,p,M,e
0,z,I,-,=,U,N,F,en
2,d,@,r,h,B,s,N,Uer
0,f,Y,-,l,U,N,F,en
0,t,&,-,r,i,f,M,e
0,S,X,-,x,@,-,F,en
0,r,@,n,S,i,-,M,er
8,f,E,r,z,u,x,M,e
0,=,U,-,N,@,-,F,en
83,n,o,-,t,i,=,F,en
0,pl,E,k,tr,U,m,N,en
2,h,E,-,r,E,n=,F,en
1,=,i,-,d,@,r,M,-
25,tr,W,-,b,U,N,F,en
21,=,i,-,-,o,n,F,en
4,tr,O,-,l,@,-,F,en
1,+,E,n,x,@,n,N,-
2,r,W,-,z,@,-,F,en
623,b,W,-,-,@,r,M,en
2,z,O,lt,b,u,x,N,Uer
14,z,O,r,g,@,-,F,en
7,-,&,n,St,&,lt,F,en
0,l,e,-,r,@,-,F,en
0,f,W,-,-,@,r,F,en
2,l,I,s,m,U,s,M,en
126,h,&,nt,v,E,rk,N,e
4,m,W,-,z,@,-,F,en
0,n,i,-,r,U,N,F,en
0,m,i,-,kr,O,n,N,s
0,tr,&,-,s,&,nt,M,en
724,l,W,-,t,U,N,F,en
2,r,O,l,S,u,-,M,e
7,=,E,r,b,I,lt,N,er
0,tr,i,-,b,@,-,N,-
2,z,i,-,d,@,r,M,-
4,=,I,r,k,@,l,M,-
0,St,X,-,-,@,r,F,en
1,Sr,&,p,n,E,l,N,e
3,t,I,-,g,U,N,F,en
39,S,@,n,r,u,f,M,e
58,z,E,N,k,U,N,F,en
1,-,-,-,kn,&,ks,M,e
16,=,i,-,-,o,n,F,en
30,k,@,r,b,U,nt,M,Ue
6,tr,i,-,r,U,N,F,en
6,m,W,n,g,u,t,N,Uer
34,g,&,-,t,@,-,M,en
3,=,i,-,-,o,n,F,en
2,h,&,-,p,@,n,M,-
0,kr,i,-,t,i,k,F,en
25,-,-,-,k,&,lk,M,e
16,g,@,-,v,I,xt,N,e
0,p,i,-,k,e,-,M,s
0,m,E,-,l,@,-,F,en
0,gr,u,-,b,@,-,F,en
0,t,i,-,m,E,nt,N,e
2,d,@,r,l,o,n,M,Ue
2,S,W,-,n,U,N,F,en
1,v,&,-,r,I,st,M,en
41,=,X,-,g,@,-,M,en
0,n,i,-,k,@,r,M,-
10,sl,a,-,l,O,m,M,s
0,t,@,-,r,a,t,M,en
2,dn,U,Ns,bl,&,t,N,Uer
3,n,i,-,t,),t,F,en
2,t,@,n,St,o,s,M,Ue
8,=,i,-,-,U,N,F,en
17,f,I,-,n,@,-,F,en
5,r,o,-,h,W,t,F,en
1,-,&,p,m,&,rS,M,Ue
12,=,i,-,-,o,n,F,en
10,-,I,r,v,e,k,M,e
10,t,i,-,v,@,-,F,en
0,-,&,-,k,u,t,M,e
0,z,@,-,l,W,-,F,en
15,S,E,-,l,@,-,F,en
0,k,&,r,t,@,-,F,en
10,v,E,r,b,@,r,M,-
1,St,W,n,Sl,a,k,M,Ue
0,kr,e,-,t,I,st,M,en
1914,pr,o,-,bl,e,m,N,e
1,-,a,-,z,@,-,M,en
0,t,@,n,t,y,r,F,en
0,t,@,n,t,W,l,M,e
422,-,-,-,St,E,rn,M,e
0,g,&,s,m,U,s,M,en
0,l,&,nt,l,U,ft,F,Ue
3,d,i,-,m,E,nt,N,e
0,r,i,-,-,U,s,M,en
0,t,a,-,l,U,N,F,en
0,g,o,s,k,o,p,N,e
82,vj,E,t,f,O,lk,N,Uer
0,v,a,-,g,@,-,F,en
1,Z,i,-,n,@,-,F,en
23,tr,&,m,p,@,l,N,-
3,dr,E,-,s,|,r,M,e
0,tr,),n,l,W,n,N,-
12,g,@,s,=,u,k,M,Ue
3,v,&,-,s,@,r,N,-
1,r,u,-,t,@,-,F,en
26,t,a,t,-,O,rt,M,e
3,l,e,-,b,@,n,N,-
2,tr,a,-,t,O,r,M,en
7,r,I,N,k,&,m+,M,Ue
9,v,e,-,z,@,n,N,-
8,g,@,-,b,i,t,N,e
2,kr,E,f,t,U,N,F,en
23,-,-,-,b,O,s,M,e
5,-,-,-,kl,&,ps,M,e
14,kr,W,-,d,@,-,F,en
3,-,u,-,f,@,r,N,-
17,m,|,-,r,@,-,F,en
1,St,E,-,l,U,N,F,en
0,n,I,s,m,U,s,M,en
1,st,@,-,r,U,N,F,en
99,z,E,-,s,@,l,M,-
7,kl,&,-,s,@,-,F,en
0,m,&,r,d,@,r,M,-
53,-,@,-,r,U,N,F,en
0,p,@,n,St,Y,k,N,e
1,p,o,-,gr,a,f,M,en
4,-,-,-,m,U,f,M,e
0,fl,&,-,k,~,-,NM,s
43,-,-,-,h,B,x,M,e
2,b,X,-,t,@,l,M,-
24,-,-,-,z,E,nf,M,e
2,t,),r,=,W,t,F,en
8,St,a,l,r,o,r,N,e
0,bl,u,-,m,@,-,F,en
6,=,@,-,r,U,N,F,en
0,m,o,-,t,O,r,M,en
46,Sp,E,-,r,@,-,F,en
43,st,@,r,n,I,s,F,e
37,h,&,l,t,@,r,M,-
3,m,@,-,l,U,N,F,en
0,v,W,-,s,U,N,F,en
44,t,@,-,r,U,N,F,en
1,t,o,-,t,@,m,N,s
4,l,@,-,r,W,-,F,en
267,p,i,-,t,a,l,N,e
0,=,i,-,-,o,n,F,en
2,v,E,-,l,@,-,F,en
154,p,O,s,t,@,n,M,-
63,-,-,-,+,W,l,M,e
0,-,),-,z,U,N,F,en
27,f,&,-,N,@,n,N,-
17,-,-,-,Sp,&,n,M,e
101,l,X,-,f,@,r,M,-
5,fl,&,-,m,@,-,F,en
9,m,@,-,r,I,n,F,en
10,=,X,-,g,I,n,F,en
2,b,&,N,k,@,r,M,-
0,=,i,-,t,i,n,N,e
0,-,&,n,d,@,r,M,-
65,-,-,-,kl,B,n,M,s
0,s,@,-,r,W,-,F,en
11,l,@,n,gl,a,s,N,Uer
4,St,i,r,k,&,m+,M,Ue
0,t,&,-,l,~,-,M,s
0,l,i,-,-,@,-,F,en
4,pl,&,-,t,@,-,F,en
1,n,@,n,b,a,n,F,en
30,k,O,n,tr,&,st,M,e
0,dr,E,-,s,@,-,F,en
0,r,q,-,Z,|,r,M,e
332,-,-,-,Sp,u,r,F,en
7,br,E,-,x,U,N,F,en
1,-,@,n,b,u,x,N,Uer
79,St,X,-,-,@,r,F,en
0,n,U,Ns,v,&,nt,F,Ue
3,l,&,r,d,@,-,F,en
41,-,-,-,h,a,n,M,Ue
2,-,W,n,z,@,r,M,-
59,d,@,-,r,@,r,M,-
0,S,O,-,k,@,-,F,en
6,k,E,-,n,U,N,F,en
0,l,i,-,br,I,st,M,en
0,Sp,E,N,x,@,n,N,-
46,z,i,-,-,o,n,F,en
21,gl,W,-,x,@,-,F,en
3,-,O,k,s,@,-,M,en
4,l,E,k,t,@,-,F,en
3,k,Y,-,m,@,l,M,-
3,t,@,r,z,&,=,M,Ue
5,v,a,-,g,@,n,M,-
1,S,&,lt,br,E,t,N,er
2,-,-,-,r,u,x,M,Ue
0,f,a,-,l,@,-,M,en
21,S,I,-,f,U,N,F,en
7,m,y,-,t,@,-,F,en
15,-,-,-,fl,I,rt,M,s
5,r,a,-,_,a,-,M,s
24,v,E,r,t,@,r,M,-
30,S,u,l,k,I,nt,N,er
73,g,&,-,t,I,n,F,en
32,t,I,-,g,U,N,F,en
0,p,&,-,r,a,t,M,e
122,n,o,-,p,o,l,N,e
41,gr,o,s,t,W,l,M,e
1,l,|,-,z,U,N,F,en
0,m,&,-,s,@,l,MN,-
0,d,I,-,g,U,N,F,en
0,n,I,t,S,a,r,M,en
0,Spr,a,-,x,@,-,F,en
4,t,E,k,t,i,f,M,e
0,n,a,l,t,&,n=,M,Ue
0,z,u,-,x,@,r,M,-
46,k,&,r,t,@,-,F,en
2,s,@,ns,St,O,f,M,e
0,=,i,-,-,o,n,F,en
0,=,i,-,-,o,n,F,en
0,l,a,-,g,@,-,F,en
1,k,u,-,x,@,n,M,-
1,pr,o,-,=,E,s,M,e
12,z,@,r,kr,W,s,M,e
14,n,&,x=,m,&,rkt,M,Ue
96,t,i,-,v,@,-,F,en
5,g,&,-,b,U,nt,M,en
0,+,I,n,d,U,N,F,en
20,St,E,-,l,@,-,F,en
143,f,O,r,m,@,l,F,en
2,st,i,-,t,u,t,M,en
0,k,O,r,n,E,t,M,e
0,=,i,-,-,o,n,F,en
0,St,u,-,f,@,-,F,en
10,g,@,-,b,i,t,N,e
4,tr,),k,n,I,s,N,e
2,-,W,-,z,@,n,N,-
0,m,a,-,n,@,-,M,en
40,d,e,-,l,I,kt,N,e
60,z,O,r,g,@,-,F,en
2,b,I,-,S,O,f,M,Ue
29,g,U,l,d,@,n,M,-
4,t,Y,r,k,I,n,F,en
0,Sl,W,-,x,@,-,F,en
0,n,o,-,n,@,-,F,en
0,z,i,-,n,U,s,M,-
0,m,o,-,t,O,r,M,en
3,f,o,r,dr,U,k,M,e
1,z,X,l,x,@,n,N,-
0,v,&,-,s,@,r,N,-
6,z,Y,s,t,e,m,N,e
4,h,E,-,N,@,r,M,-
3,St,e,-,-,@,r,M,-
1,tr,a,-,f,o,-,M,s
0,b,i,-,-,U,m,N,en
17,S,Y,-,s,@,l,F,en
3,f,|,-,r,@,-,F,en
0,d,I,-,g,@,r,M,-
1,p,&,r,t,i,-,F,en
16,-,&,r,x,@,-,F,en
0,v,B,-,v,B,-,M,s
8,v,a,-,g,@,n,M,-
