@relation past-tense
@attribute frequency NUMERIC
@attribute p1 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p2 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p3 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p4 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p5 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p6 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p7 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p8 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p9 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute class { IRREG-aI-aU.,  IRREG-aI-eI.,  IRREG-aI-I.,  IRREG-aI-O:., IRREG-aI-O.,  IRREG-aI-u:.,  IRREG-aI-@U.,  IRREG-aI-V.,  IRREG-CONV., IRREG-@+d.,  IRREG-d-t.,  IRREG-E-&.,  IRREG-eI-u:.,  IRREG-eI-@U., IRREG-eI-U.,  IRREG-E-O.,  IRREG-E@-O:.,  IRREG-I-&.,  IRREG-i:-E., IRREG-i:-E+d.,  IRREG-I-eI.,  IRREG-i:-E+t.,  IRREG-i:-O:., IRREG-i:-@U.,  IRREG-I-U.,  IRREG-I-V.,  IRREG-@+ked.,  IRREG-O:-E., IRREG-OTHER.,  IRREG-O-u.,  IRREG-O:-u:.,  IRREG-@-s+ed.,  IRREG-@+t., IRREG-@U-E.,  IRREG-@U-ju:.,  IRREG-u:-O.,  IRREG-u:-@U., IRREG-@U-u:.,  IRREG-&-V.,  IRREG-V-&.,  IRREG-V-eI.,  REG.}

@data
3074,=,=,=,=,=,=,k,O:,z,REG.
41,=,=,=,k,O:,=,Sn#,=,=,REG.
25,=,=,=,k,@,=,v,O:,t,REG.
13,=,=,=,=,=,=,k,O:,=,REG.
659,=,=,=,=,=,=,s,i:,s,REG.
16,=,=,=,=,=,=,s,i:,d,REG.
409,s,E,=,l,I,=,br,eI,t,REG.
57,=,=,=,s,I,=,m,E,nt,REG.
63,=,=,=,s,E,n,s,@,r*,REG.
26,=,=,=,s,E,n,S,@,r*,REG.
149,s,E,n,tr,@,=,l,aI,z,REG.
222,=,=,=,s,E,n,t,@,r*,REG.
32,s,3:,=,t,I,=,f,aI,=,REG.
39,=,=,=,=,=,=,tS,eI,f,REG.
13,=,=,=,=,=,=,tS,A:,f,REG.
10,=,=,=,S,&,=,gr,I,n,REG.
106,=,=,=,=,=,=,tS,eI,n,REG.
11,=,=,=,tS,eI,n,sm,@U,k,REG.
71,=,=,=,=,=,=,tS,E@,r*,REG.
22,=,=,=,=,=,=,tS,O:,k,REG.
545,=,=,=,tS,&,=,l,I,ndZ,REG.
31,=,=,=,tS,&,m,pj,@,n,REG.
27,=,=,=,=,=,=,tS,A:,ns,REG.
8239,=,=,=,=,=,=,tS,eI,ndZ,REG.
106,=,=,=,tS,&,=,nl#,=,=,REG.
136,=,=,=,=,=,=,tS,A:,nt,REG.
25,=,=,=,=,=,=,tS,&,p,REG.
12,S,&,=,p,@,=,r,@U,n,REG.
49,=,=,=,=,=,=,tS,A:,r*,REG.
284,r,@,k,t,@,=,r,aI,z,REG.
808,=,=,=,=,=,=,tS,A:,dZ,REG.
75,=,=,=,=,=,=,tS,A:,m,REG.
31,=,=,=,=,=,=,tS,A:,t,REG.
66,=,=,=,tS,A:,=,t,@,r*,REG.
363,=,=,=,=,=,=,tS,eI,s,REG.
25,=,=,=,tS,eI,=,sn#,=,=,REG.
15,=,=,=,tS,&,=,st,aI,z,REG.
209,=,=,=,=,=,=,tS,&,t,REG.
183,=,=,=,tS,&,=,t,@,r*,REG.
16,=,=,=,tS,i:,=,p,@,n,REG.
250,=,=,=,=,=,=,tS,i:,t,REG.
1488,=,=,=,=,=,=,tS,E,k,REG.
14,=,=,=,=,=,=,tS,i:,k,REG.
270,=,=,=,=,=,=,tS,I@,r*,REG.
44,=,=,=,tS,E,=,k,@,r*,REG.
157,=,=,=,tS,E,=,r,I,S,REG.
361,=,=,=,=,=,=,tS,u:,=,REG.
34,=,=,=,=,=,=,tS,aI,d,IRREG-aI-I.
34,=,=,=,=,=,=,tS,aI,d,REG.
171,=,=,=,=,=,=,tS,I,l,REG.
55,=,=,=,=,=,=,tS,aI,m,REG.
100,=,=,=,=,=,=,tS,I,p,REG.
18,=,=,=,=,=,=,tS,3:,p,REG.
18,=,=,=,tS,I,=,zl#,=,=,REG.
33,=,=,=,tS,I,=,v,I,=,REG.
258,=,=,=,=,=,=,tS,@U,k,REG.
24,=,=,=,=,=,=,tS,O,mp,REG.
3211,=,=,=,=,=,=,tS,u:,z,IRREG-u:-@U.
349,=,=,=,=,=,=,tS,O,p,REG.
20,=,=,=,k,O:,=,r,@,s,REG.
72,=,=,=,kr,I,=,sn#,=,=,REG.
22,kr,O,=,n,I,=,kl#,=,=,REG.
86,=,=,=,=,=,=,tS,V,k,REG.
114,=,=,=,tS,V,=,kl#,=,=,REG.
37,=,=,=,=,=,=,tS,V,g,REG.
89,=,=,=,=,=,=,tS,3:,n,REG.
11,=,=,=,s,aI,=,f,@,r*,REG.
201,=,=,=,s,3:,=,kl#,=,=,REG.
218,s,3:,=,kj,U,=,l,eI,t,REG.
29,s,3:,=,k,@,m,s,aI,z,REG.
25,s,3:,=,k,@,m,skr,aI,b,REG.
17,s,3:,=,k,@,m,v,E,nt,REG.
192,=,=,=,=,=,=,s,aI,t,REG.
318,s,I,=,v,I,=,l,aI,z,REG.
14,=,=,=,=,=,=,kl,&,k,REG.
1794,=,=,=,=,=,=,kl,eI,m,REG.
140,=,=,=,kl,&,m,b,@,r*,REG.
59,=,=,=,kl,&,=,m,@,r*,REG.
79,=,=,=,=,=,=,kl,&,mp,REG.
56,=,=,=,=,=,=,kl,&,N,REG.
45,=,=,=,=,=,=,kl,&,Nk,REG.
208,=,=,=,=,=,=,kl,&,p,REG.
142,kl,&,=,r,I,=,f,aI,=,REG.
85,=,=,=,=,=,=,kl,&,S,REG.
224,=,=,=,=,=,=,kl,A:,sp,REG.
63,=,=,=,=,=,=,kl,A:,s,REG.
160,kl,&,=,s,I,=,f,aI,=,REG.
117,=,=,=,kl,&,=,t,@,r*,REG.
104,=,=,=,=,=,=,kl,O:,=,REG.
1083,=,=,=,=,=,=,kl,i:,n,REG.
59,=,=,=,=,=,=,kl,E,nz,REG.
879,=,=,=,=,=,=,kl,I@,r*,REG.
75,=,=,=,=,=,=,kl,i:,v,REG.
75,=,=,=,=,=,=,kl,i:,v,IRREG-OTHER.
75,=,=,=,=,=,=,kl,i:,v,IRREG-i:-@U.
176,=,=,=,=,=,=,kl,E,ntS,REG.
11,=,=,=,=,=,=,kl,A:,k,REG.
163,=,=,=,=,=,=,kl,I,k,REG.
15,=,=,=,kl,aI,=,m,&,ks,REG.
1643,=,=,=,=,=,=,kl,aI,m,REG.
41,=,=,=,=,=,=,kl,I,ntS,REG.
489,=,=,=,=,=,=,kl,I,N,IRREG-I-V.
32,=,=,=,=,=,=,kl,I,Nk,REG.
56,=,=,=,=,=,=,kl,I,p,REG.
85,=,=,=,=,=,=,kl,I,p,REG.
16,=,=,=,=,=,=,kl,@U,k,REG.
31,=,=,=,kl,O,=,b,@,r*,REG.
23,=,=,=,=,=,=,kl,O,k,REG.
72,=,=,=,=,=,=,kl,O,g,REG.
20,=,=,=,kl,OI,=,st,@,r*,REG.
2157,=,=,=,=,=,=,kl,@U,z,REG.
16,=,=,=,kl,O,=,z,I,t,REG.
52,=,=,=,=,=,=,kl,O,t,REG.
158,=,=,=,=,=,=,kl,@U,D,IRREG-OTHER.
158,=,=,=,=,=,=,kl,@U,D,REG.
97,=,=,=,=,=,=,kl,aU,d,REG.
15,=,=,=,=,=,=,kl,aU,t,REG.
22,=,=,=,=,=,=,kl,aU,n,REG.
27,=,=,=,=,=,=,kl,OI,=,REG.
26,=,=,=,=,=,=,kl,V,b,REG.
25,=,=,=,=,=,=,kl,V,k,REG.
32,=,=,=,=,=,=,kl,V,mp,REG.
115,=,=,=,kl,V,=,st,@,r*,REG.
374,=,=,=,=,=,=,kl,V,tS,REG.
91,=,=,=,kl,V,=,t,@,r*,REG.
23,=,=,=,k,@U,=,=,O,pt,REG.
261,=,O:,=,d,I,=,n,eI,t,REG.
103,=,=,=,=,=,=,k,@U,tS,REG.
11,=,&,=,gj,U,=,l,eI,t,REG.
16,=,=,=,=,=,=,k,@U,l,REG.
32,k,@U,=,=,@,=,l,E,s,REG.
16,=,=,=,k,O:,=,sn#,=,=,REG.
25,=,=,=,=,=,=,k,@U,st,REG.
114,=,=,=,=,=,=,k,@U,t,REG.
88,=,=,=,=,=,=,k,@U,ks,REG.
45,=,=,=,k,O,=,bl#,=,=,REG.
122,=,=,=,=,=,=,k,O,k,REG.
19,=,=,=,k,@,=,k,u:,n,REG.
18,=,=,=,k,O,=,dl#,=,=,REG.
81,=,=,=,=,=,=,k,@U,d,REG.
19,k,@U,=,d,I,=,f,aI,=,REG.
30,=,=,=,k,@U,=,=,3:,s,REG.
27,k,@U,=,=,I,g,z,I,st,REG.
91,=,=,=,=,=,=,k,OI,l,REG.
56,=,=,=,=,=,=,k,OI,n,REG.
189,k,@U,=,=,I,n,s,aI,d,REG.
72,l,&,=,b,@,=,r,eI,t,REG.
518,=,=,=,k,@,=,l,&,ps,REG.
17,=,=,=,k,@,=,l,eI,t,REG.
1252,=,=,=,k,@,=,l,E,kt,REG.
25,l,E,k,t,I,=,v,aI,z,REG.
93,=,=,=,k,@,=,l,aI,d,REG.
11,=,=,=,k,@,=,l,u:,d,REG.
96,k,O,=,l,@,=,n,aI,z,REG.
102,=,=,=,k,V,=,l,@,r*,REG.
159,=,=,=,=,=,=,k,@U,m,REG.
217,=,=,=,k,O,m,b,&,t,REG.
1190,=,=,=,k,@,m,b,aI,n,REG.
35152,=,=,=,=,=,=,k,V,m,IRREG-V-eI.
378,=,=,=,k,V,m,f,@,t,REG.
508,=,=,=,k,@,=,m,A:,nd,REG.
23,k,O,=,m,@,n,d,I@,r*,REG.
57,m,E,=,m,@,=,r,eI,t,REG.
72,=,=,=,k,@,=,m,E,ns,REG.
78,=,=,=,k,@,=,m,E,nd,REG.
444,=,=,=,k,O,=,m,E,nt,REG.
15,m,3:,=,S,@,=,l,aI,z,REG.
150,k,@,=,m,I,=,Sn#,=,=,REG.
958,=,=,=,k,@,=,m,I,t,REG.
13,=,=,=,k,@,=,mj,u:,n,REG.
427,mj,u:,=,n,I,=,k,eI,t,REG.
50,=,=,=,k,@,=,mj,u:,t,REG.
1511,=,=,=,k,@,m,p,E@,r*,REG.
13,m,E,n,tl#,=,=,=,=,=,REG.
410,=,=,=,k,@,m,p,E,l,REG.
217,k,O,m,p,E,n,s,eI,t,REG.
469,=,=,=,k,@,m,p,i:,t,REG.
98,=,=,=,k,@,m,p,aI,l,REG.
927,=,=,=,k,@,m,pl,eI,n,REG.
63,k,O,m,pl,I,=,m,E,nt,REG.
865,=,=,=,k,@,m,pl,i:,t,REG.
134,k,O,m,pl,I,=,k,eI,t,REG.
36,k,O,m,pl,I,=,m,E,nt,REG.
112,=,=,=,k,@,m,pl,aI,=,REG.
472,=,=,=,k,@,m,p,@U,z,REG.
10,=,=,=,k,O,m,p,O,st,REG.
137,=,=,=,k,@,m,p,aU,nd,REG.
137,k,O,m,pr,I,=,h,E,nd,REG.
173,=,=,=,k,@,m,pr,E,s,REG.
200,=,=,=,k,@,m,pr,aI,z,REG.
113,k,O,m,pr,@,=,m,aI,z,REG.
118,=,=,=,k,@,m,pj,u:,t,REG.
57,pj,u:,=,t,@,=,r,aI,z,REG.
57,=,=,=,=,=,=,k,O,n,REG.
575,=,=,=,k,@,n,s,i:,l,REG.
255,=,=,=,k,@,n,s,i:,d,REG.
361,=,=,=,k,@,n,s,i:,v,REG.
1084,k,O,n,s,@,n,tr,eI,t,REG.
421,=,=,=,k,@,n,s,3:,n,REG.
763,=,=,=,k,@,n,kl,u:,d,REG.
46,=,=,=,k,@,n,k,O,kt,REG.
39,=,=,=,k,@,n,k,3:,r*,REG.
518,=,=,=,k,@,n,d,E,m,REG.
71,=,=,=,k,@,n,d,E,ns,REG.
56,k,O,n,d,I,=,s,E,nd,REG.
291,k,@,n,d,I,=,Sn#,=,=,REG.
68,=,=,=,k,@,n,d,@U,n,REG.
681,=,=,=,k,@,n,d,V,kt,REG.
170,=,=,=,k,@,n,f,3:,r*,REG.
456,=,=,=,k,@,n,f,E,s,REG.
126,=,=,=,k,@,n,f,aI,d,REG.
431,=,=,=,k,@,n,f,aI,n,REG.
795,=,=,=,k,@,n,f,3:,m,REG.
55,k,O,n,f,I,=,sk,eI,t,REG.
87,=,=,=,k,@,n,fl,I,kt,REG.
210,=,=,=,k,@,n,f,O:,m,REG.
51,=,=,=,k,@,n,f,aU,nd,REG.
464,=,=,=,k,@,n,fr,V,nt,REG.
370,=,=,=,k,@,n,fj,u:,z,REG.
30,=,=,=,k,@,n,dZ,i:,l,REG.
163,gr,&,=,tS,U,=,l,eI,t,REG.
43,k,O,N,gr,I,=,g,eI,t,REG.
41,k,@,n,dZ,E,k,tS,@,r*,REG.
67,=,=,=,k,V,n,dZ,@,r*,REG.
720,=,=,=,k,@,=,n,E,kt,REG.
15,=,=,=,k,@,=,n,aI,v,REG.
11,=,=,=,k,@,=,n,@U,t,REG.
249,=,=,=,k,O,N,k,@,r*,REG.
25,=,=,=,k,@,n,skr,I,pt,REG.
45,k,O,n,s,I,=,kr,eI,t,REG.
90,=,=,=,k,@,n,s,E,nt,REG.
116,=,=,=,k,@,n,s,3:,v,REG.
3730,k,@,n,s,I,=,d,@,r*,REG.
45,=,=,=,k,@,n,s,aI,n,REG.
103,=,=,=,k,@,n,s,@U,l,REG.
128,s,O,=,l,I,=,d,eI,t,REG.
74,k,@,n,sp,aI,=,=,@,r*,REG.
523,k,O,n,st,I,=,tj,u:,t,REG.
70,=,=,=,k,@,n,str,eI,n,REG.
46,=,=,=,k,@,n,str,I,kt,REG.
511,=,=,=,k,@,n,str,V,kt,REG.
40,=,=,=,k,@,n,str,u:,=,REG.
562,=,=,=,k,@,n,s,V,lt,REG.
423,=,=,=,k,@,n,sj,u:,m,REG.
20,k,O,n,s,@,=,m,eI,t,REG.
235,=,=,=,k,O,n,t,&,kt,REG.
2244,=,=,=,k,@,n,t,eI,n,REG.
96,t,&,=,m,I,=,n,eI,t,REG.
319,k,O,n,t,E,m,pl,eI,t,REG.
154,=,=,=,k,@,n,t,E,nd,REG.
95,=,=,=,k,@,n,t,E,nt,REG.
88,=,=,=,k,@,n,t,E,st,REG.
4702,k,@,n,t,I,=,nj,u:,=,REG.
55,=,=,=,k,@,n,t,O:,t,REG.
268,=,=,=,k,@,n,tr,&,kt,REG.
131,k,O,n,tr,@,=,d,I,kt,REG.
181,=,=,=,k,@,n,tr,A:,st,REG.
25,k,O,n,tr,@,=,v,i:,n,REG.
753,k,@,n,tr,I,=,bj,u:,t,REG.
111,=,=,=,k,@,n,tr,aI,v,REG.
1549,=,=,=,k,@,n,tr,@U,l,REG.
11,k,O,n,v,@,=,l,E,s,REG.
44,=,=,=,k,@,n,v,i:,n,REG.
104,=,=,=,k,@,n,v,3:,dZ,REG.
73,=,=,=,k,@,n,v,3:,s,REG.
637,=,=,=,k,@,n,v,3:,t,REG.
406,=,=,=,k,@,n,v,eI,=,REG.
179,=,=,=,k,@,n,v,I,kt,REG.
548,=,=,=,k,@,n,v,I,ns,REG.
26,=,=,=,k,@,n,v,V,ls,REG.
46,=,=,=,=,=,=,k,u:,=,REG.
1284,=,=,=,=,=,=,k,U,k,REG.
461,=,=,=,=,=,=,k,u:,l,REG.
202,=,O,=,p,@,=,r,eI,t,REG.
17,=,=,=,=,=,=,k,O,p,REG.
782,=,=,=,=,=,=,k,@U,p,REG.
39,k,O,=,pj,U,=,l,eI,t,REG.
293,=,=,=,k,O,=,p,I,=,REG.
17,=,=,=,=,=,=,k,O:,d,REG.
31,=,=,=,=,=,=,k,O:,n,REG.
56,=,=,=,k,O:,=,n,@,r*,REG.
347,=,=,=,k,@,=,r,E,kt,REG.
56,k,O,=,r,@,=,l,eI,t,REG.
188,k,O,=,r,I,=,sp,O,nd,REG.
39,r,O,=,b,@,=,r,eI,t,REG.
30,=,=,=,k,@,=,r,@U,d,REG.
50,k,O,=,r,@,=,g,eI,t,REG.
110,=,=,=,k,@,=,r,V,pt,REG.
24,=,=,=,k,O,=,s,I,t,REG.
985,=,=,=,=,=,=,k,O,st,IRREG-CONV.
985,=,=,=,=,=,=,k,O,st,REG.
35,=,=,=,=,=,=,k,aU,tS,REG.
223,=,=,=,=,=,=,k,O,f,REG.
99,=,=,=,k,aU,n,sl#,=,=,REG.
1122,=,=,=,=,=,=,k,aU,nt,REG.
30,k,aU,n,t,@,=,n,@,ns,REG.
209,=,=,=,k,aU,n,t,@,r*,REG.
87,k,aU,n,t,@,=,r,&,kt,REG.
13,t,@,=,r,@,=,t,&,k,REG.
11,t,@,=,b,&,=,l,@,ns,REG.
11,k,aU,n,t,@,=,f,I,t,REG.
16,k,aU,n,t,@,=,v,eI,l,REG.
146,=,=,=,k,V,=,pl#,=,=,REG.
26,=,=,=,=,=,=,k,O:,s,REG.
105,=,=,=,=,=,=,k,O:,t,REG.
3263,=,=,=,k,V,=,v,@,r*,REG.
41,=,=,=,k,V,=,v,I,t,REG.
29,=,=,=,=,=,=,k,aU,=,REG.
42,=,=,=,k,aU,=,=,@,r*,REG.
333,=,=,=,=,=,=,kr,&,k,REG.
98,=,=,=,kr,&,=,kl#,=,=,REG.
65,=,=,=,kr,eI,=,dl#,=,=,REG.
12,=,=,=,=,=,=,kr,A:,ft,REG.
189,=,=,=,=,=,=,kr,&,m,REG.
39,=,=,=,=,=,=,kr,&,mp,REG.
38,=,=,=,=,=,=,kr,eI,n,REG.
34,=,=,=,=,=,=,kr,&,Nk,REG.
12,=,=,=,=,=,=,kr,&,p,REG.
335,=,=,=,=,=,=,kr,&,S,REG.
14,=,=,=,=,=,=,kr,eI,t,REG.
90,=,=,=,=,=,=,kr,eI,v,REG.
454,=,=,=,=,=,=,kr,O:,l,REG.
35,=,=,=,=,=,=,kr,eI,z,REG.
145,=,=,=,=,=,=,kr,i:,k,REG.
70,=,=,=,=,=,=,kr,i:,m,REG.
79,=,=,=,=,=,=,kr,i:,s,REG.
2870,=,=,=,kr,i:,=,=,eI,t,REG.
112,=,=,=,kr,E,=,d,I,t,REG.
466,=,=,=,=,=,=,kr,i:,p,IRREG-i:-E+t.
15,=,=,=,kr,I,=,m,eI,t,REG.
18,=,=,=,=,=,=,kr,I,mp,REG.
47,=,=,=,=,=,=,kr,I,ndZ,REG.
26,=,=,=,kr,I,N,kl#,=,=,REG.
189,=,=,=,kr,I,=,pl#,=,=,REG.
10,=,=,=,kr,I,s,kr,O,s,REG.
498,kr,I,=,t,I,=,s,aI,z,REG.
40,=,=,=,=,=,=,kr,@U,k,REG.
23,=,=,=,kr,@U,=,S,eI,=,REG.
14,=,=,=,=,=,=,kr,U,k,REG.
36,=,=,=,=,=,=,kr,u:,n,REG.
136,=,=,=,=,=,=,kr,O,p,REG.
1353,=,=,=,=,=,=,kr,O,s,REG.
13,=,I,g,z,&,=,m,I,n,REG.
250,=,=,=,=,=,=,kr,aU,tS,REG.
54,=,=,=,=,=,=,kr,@U,=,IRREG-@U-u:.
54,=,=,=,=,=,=,kr,@U,=,REG.
135,=,=,=,=,=,=,kr,aU,d,REG.
114,=,=,=,=,=,=,kr,aU,n,REG.
62,kr,u:,=,s,I,=,f,aI,=,REG.
355,=,=,=,=,=,=,kr,u:,z,REG.
196,=,=,=,kr,V,m,bl#,=,=,REG.
165,=,=,=,kr,V,m,pl#,=,=,REG.
72,=,=,=,=,=,=,kr,V,ntS,REG.
23,=,=,=,kr,u:,=,s,eI,d,REG.
372,=,=,=,=,=,=,kr,V,S,REG.
2158,=,=,=,=,=,=,kr,aI,=,REG.
71,kr,I,=,st,@,=,l,aI,z,REG.
